Year,Area harvested,Yield,Production_Tonnes
1961,17000,38912,66150
1962,18000,38889,70000
1963,24000,38458,92300
1964,25000,38034,95086
1965,35000,36997,129490
1966,35000,37569,131490
1967,35000,38312,134091
1968,37000,34178,126458
1969,40000,35161,140644
1970,45500,33333,151667
1971,40500,33952,137506
1972,40790,35158,143409
1973,43550,43077,187600
1974,43500,44023,191500
1975,46620,51329,239298
1976,35800,81872,293100
1977,36190,84989,307574
1978,35400,94702,335244
1979,38600,94119,363300
1980,39180,96270,377184
1981,48817,75097,366600
1982,51195,60865,311600
1983,51978,58352,303300
1984,52745,64328,339300
1985,53736,66194,355700
1986,54393,68553,372879
1987,55464,66189,367108
1988,55725,64807,361138
1989,56457,65554,370100
1990,77137,58855,453986
1991,88884,56078,498440
1992,92513,58161,538068
1993,97623,57671,563001
1994,105643,60677,641006
1995,114770,62318,715224
1996,124105,64943,805972
1997,131959,76584,1010596
1998,136966,74114,1015109
1999,139878,63427,887204
2000,141620,61331,868569
2001,145101,62156,901893
2002,158598,61593,976857
2003,164109,62577,1026949
2004,167172,59018,986613
2005,172413,58190,1003273
2006,179900,52049,936370
2007,192418,54099,1040966
2008,195175,45969,897199
2009,196658,39943,785510
2010,197816,42641,843508
2011,195401,40970,800551
2012,197157,39736,783420
2013,196358,42332,831224
2014,196412,45772,899014
2015,196662,46628,917005
2016,195958,42207,827075
2017,194367,38533,748952
2018,194267,37326,725122
2019,194923,38681,753985
2020,195135,38594,753103
